Fs,50.00
Initialization time,60
mx,my,mz
6127,832,3137
6167,875,3175
6167,995,3230
6187,1050,3175
6247,915,3075
6337,910,3080
6197,920,3155
6122,990,3187
6322,1050,3160
6237,1005,3165
6302,1015,3060
6267,1040,3070
6237,975,3107
6277,1015,3160
6107,940,3107
6192,1005,2967
6292,1010,3010
6207,960,3090
6182,980,3112
6232,930,3137
6272,960,3127
6372,1000,3245
6127,940,3070
6182,1015,3122
6142,900,3127
6287,975,3137
6282,1015,3117
6262,915,3207
6147,880,3212
6237,930,3065
6282,910,3175
6182,920,3117
6207,1065,3037
6157,890,3145
6262,960,3240
6257,955,3217
6127,1025,2990
6192,960,3127
6277,1000,3102
6187,940,3075
6232,990,3160
6237,940,3070
6252,900,3187
6282,965,3175
6242,910,3122
6187,915,3095
6322,945,3165
6212,950,3150
6202,925,3037
6337,900,3165
6207,910,3075
6232,1030,3212
6212,905,3160
6222,960,3037
6267,900,3127
6107,970,3145
6127,1045,3145
6247,1020,3102
6192,970,3197
6212,935,3117
6137,965,3155
6302,1082,3145
6197,935,3145
6297,950,3052
6127,955,3170
6212,965,3150
6207,1060,3170
6137,1045,3075
6227,980,3180
6172,945,3180
6237,995,3052
6282,995,3032
6287,910,3095
6162,925,3102
6207,1010,3095
6247,1015,3117
6252,920,3060
6342,1060,3122
6207,915,3117
6167,970,3187
6102,920,3022
6282,1025,3250
6257,990,3165
6242,995,3175
6267,1035,3155
6127,950,3170
6157,985,3192
6217,1020,3107
6197,990,3042
6262,910,3217
6232,857,3075
6197,990,3042
6162,1020,3095
6267,1025,3090
6242,802,3065
6367,1000,3175
6207,925,3217
6207,890,3122
6307,955,3170
6177,875,3245
6117,955,3052
6237,1065,3075
6197,935,3080
6142,950,3112
6207,930,3117
6182,915,3155
6227,950,3137
6237,950,3117
6247,955,3150
6197,1030,3212
6247,915,3132
6232,970,3217
6267,1015,3137
6232,950,3282
6242,875,3202
6267,985,3052
6222,960,3202
6302,910,3042
6287,975,3122
6182,910,3160
6182,960,3090
6287,1060,3122
6197,865,3155
6187,1015,3230
6287,950,3192
6177,1030,3187
6247,920,3165
6212,975,2985
6202,980,3070
6187,950,3160
6227,920,3160
6267,925,3122
6222,990,3175
6327,895,3102
6247,980,3112
6272,925,3060
6197,985,3150
6247,935,3122
6177,865,3150
6222,985,3112
6147,950,3175
6217,1025,3085
6197,935,3095
6192,945,3165
6277,940,3180
6127,1040,3027
6142,1045,3085
6197,1010,3137
6272,965,3180
6092,1055,3160
6287,1000,3187
6197,955,3150
6242,900,3175
6227,995,3127
6307,975,3150
6182,965,3235
6267,1010,3095
6282,885,3065
6297,950,3095
6327,1025,3095
6302,1045,3212
6167,1010,3122
6282,980,3070
6202,875,3217
6117,965,3137
6227,827,3187
6207,1082,3117
6257,797,3112
6292,1015,3095
6187,890,3102
6217,1070,3145
6262,890,3052
6132,945,3160
6187,1000,3090
